Session,Analytic,Clout,Authentic,Tone
1,27.1,29.19,75.06,42.46
2,38.89,52.58,31.14,17.71
3,28.22,40.15,57.5,38.31
4,24.19,42.4,64.53,27.19
5,28.6,27.98,76.67,44.33
6,21.61,37.75,82.19,64.54
7,29.86,45.57,46.62,41.47
8,36.43,57.77,49.73,16.15
9,17.7,57.58,67.12,16.64
10,19.23,56.53,65.38,1
11,21.34,26.02,39.18,24.53
12,25.99,36.76,46.11,21.54
13,16.67,39.08,57.09,11.03
14,21.27,40.55,72.11,29.27
15,29.71,35.83,63.42,24.58
16,21.78,40.97,64.43,26.4
17,9.99,57.44,48.27,43.63
18,36.73,45.42,59.7,26.48
19,17.38,31.8,76.47,7.9
20,28.64,58.25,46.8,18.26
21,23.07,50.27,61.56,33.23
22,21.3,60.6,40.27,25.25
23,17.09,29.84,65.14,7.9
24,23.71,44.22,56.17,43.45
25,23.19,47.35,64.94,53.13
26,19.09,35.24,73.32,53.93
27,29.41,47.32,74.31,53.01
28,15.67,38.14,87.91,29.51
29,23.35,32.65,65.9,32.26
30,8.67,49.32,31.8,27.17
31,27.97,33.82,68.12,33.3
32,26.08,44.32,67.38,23.94
33,45,46.88,56.05,33.17
34,42.62,39.41,52.1,27.06
35,16.73,59.81,47.26,51.92
36,16.71,46.51,62.79,10.32
37,34.77,51.01,60.13,32.83
38,23.68,40.75,68.82,43.4
39,25.99,58.58,66.84,30.42
40,25.35,54.27,57.1,21.39
