Session,Analytic,Clout,Authentic,Tone
C1,12.62,41.26,63.11,67.58
C2,17.73,21.95,69.21,60.4
C3,35.24,20.39,80.5,66.26
C4,30.8,25.32,68.91,40.86
C5,10.08,14.08,69.39,66.7
C6,19.74,35.59,69.84,50.09
C7,21.73,42.54,72.59,49.84
C8,15.09,51.7,28.18,42.92
C9,20.46,14.71,87.51,49.69
C10,10.43,32.1,67.85,50.33
C11,17.74,32.18,67.41,77.29
C12,11.08,18.31,86.55,67.23
C13,17.27,25.92,56.74,75.06
C14,21.27,15.99,87.01,56.85
C15,29.99,37.22,52.08,41.54
T1,33.45,73.58,72.27,43.14
T2,7.39,69.04,69,72.32
T3,9.49,60.35,66.71,42.41
T4,20.15,65.65,50.19,22.31
T5,21.73,61.72,50.61,58.63
T6,18.49,55.65,59.94,30.12
T7,20.23,71.69,56.41,31.35
T8,11.39,63.4,24.98,28.62
T9,30.32,67.62,67.4,68.9
T10,21.96,34.07,73.84,49.06
T11,15.17,48.14,65,85.53
T12,13.79,68.94,86.4,91.04
T13,19.69,64.82,75.53,44.51
T14,38.33,80.23,73.1,91.52
T15,37.64,75.49,54.67,56.41
