Session,Analytic,Clout,Authentic,Tone
C1,8.31,20.79,83.95,30.48
C2,9.76,17.3,84.89,39.14
C3,12.23,34.34,77.4,37.81
C4,5.99,12.05,89.67,33.92
C5,7.8,23.77,84.25,52.62
C6,6.86,15.47,84.35,28.09
C7,10.71,14.55,84.31,42.98
C8,13.8,16.09,89.81,56.77
C9,7.4,19,80.6,33.32
C10,8.4,20.27,76.16,27.55
C11,12.11,12.48,84.71,64.38
C12,9,13.76,89.37,35.98
C13,8.1,32.02,73.69,31.32
C14,10.38,10.52,96.12,36.5
C15,9.93,24.98,89.52,34.03
C16,16.14,22.22,85.27,40.3
C17,13.69,38.62,65.02,28.35
C18,8.72,21.52,84.27,34.38
C19,9.96,25.35,90.8,61.12
C20,10.09,11.12,92.02,41
T1,9.33,84.32,53.22,45.87
T2,10.82,71.38,50.59,41.91
T3,14.26,60.8,59.47,34.18
T4,3.63,46.31,68.51,46.11
T5,4.78,68.84,55.12,30.38
T6,5.17,69.12,70.92,35.67
T7,8.82,50.61,76.79,42.31
T8,20.29,67.18,66.65,50.7
T9,5.65,47.84,78.43,43.22
T10,9.7,73.77,66.41,37.37
T11,2.54,43.82,85.18,51.45
T12,7.23,45.65,84.16,30.59
T13,8.09,62.79,72.3,28.49
T14,6.27,37.4,86.97,15.06
T15,20.86,70.2,51.28,28.22
T16,10.81,56.49,67.51,61.87
T17,7.25,63.79,75.51,16.18
T18,8.91,70.43,71.29,50.49
T19,3.91,91.21,60.97,64.83
T20,12.18,46.21,75.23,40.69
