Type,Analytic,Clout,Authentic,Tone
CBT,8.49,15.99,92.94,51.18
CBT,15.12,25.32,92.85,58.51
CBT,5.35,20.47,92.83,50.54
CBT,4.59,14.94,92.75,60.95
CBT,6.27,12.79,90.42,71.04
CBT,4.79,33.69,88.52,45.91
CBT,6.76,16.41,88.04,50.45
CBT,6.09,16.98,86.3,43.6
CBT,6.27,18.84,85.88,78.6
CBT,5.26,19.92,83.7,81.93
CBT,4.97,23.68,82.26,75.61
CBT,10.32,21.19,80.48,44.49
CBT,9.28,20.66,79.56,33.91
CBT,4.86,33.87,76.55,18.63
CBT,5.75,32.15,76.13,64.51
CBT,9.75,66,75.88,26.93
CBT,4.23,38.41,73.35,34.36
CBT,11.4,34.03,70.42,35.74
CBT,6.11,82.13,70.28,44.49
CBT,6.53,76.84,68.99,43.18
CBT,7.26,46.03,67.41,44.42
CBT,8.36,83.54,64.03,44.83
CBT,10.75,44.33,61.92,47.22
CBT,15.69,80.49,60.4,65.98
CBT,11.37,87.56,59.66,46.79
CBT,7.63,46.31,59.13,46.03
CBT,12.74,90.6,57.11,72.19
CBT,9.65,93.44,56.84,94.84
CBT,8.14,75.07,56.45,46.54
CBT,19.2,92.56,56.03,75.48
CBT,17.9,88.02,54.4,64.12
CBT,13.77,89.53,51.86,71.25
CBT,11.88,92.89,51.82,62.78
CBT,8.35,91.88,50.45,85.78
CBT,15.4,90.23,50.24,58.7
CBT,4.6,81.59,50.22,39.11
CBT,10.53,93.57,50.21,69.14
CBT,16.37,92.4,48.83,74.9
CBT,9.17,94.7,47.28,74.81
CBT,16.87,93.37,46.92,61.21
CBT,7.51,95.9,46.58,55.78
CBT,15.01,91.05,44.97,74.45
CBT,24.48,87.23,43.96,72.94
CBT,17.91,88.03,40.12,51.58
CBT,8.73,59.25,39.23,35.19
CBT,12.06,90.37,39.1,58.91
CBT,8.77,96.26,37.95,86.43
CBT,7.65,98.19,34.35,76.51
CBT,5.27,91.81,33.42,87.93
CBT,7.78,81.71,31.38,14.56
HUM,5.99,12.05,89.67,33.92
HUM,9,13.76,89.37,35.98
HUM,3.37,28.34,88.31,44.79
HUM,4.05,25.41,87.67,47.29
HUM,15.47,22.87,87.61,52.98
HUM,16.14,22.22,85.27,40.3
HUM,9.76,17.3,84.89,39.14
HUM,7.8,23.77,84.25,52.62
HUM,7.23,45.65,84.16,30.59
HUM,3.7,18.59,83.79,53.46
HUM,13.49,29.84,81.4,38.44
HUM,7.4,19,80.6,33.32
HUM,8.33,25.57,79.57,47.62
HUM,9.76,21.19,79.31,20.22
HUM,5.65,47.84,78.43,43.22
HUM,12.23,34.34,77.4,37.81
HUM,8.36,19.96,77.04,26.94
HUM,8.02,33.58,75.97,46.55
HUM,6.41,65.26,75.86,44.72
HUM,11.81,72.85,75.38,35.53
HUM,25.06,50.5,72.96,36.25
HUM,5.81,30.36,71.72,42.36
HUM,5.76,34.66,70.68,39.84
HUM,6.39,73.28,70.47,39.13
HUM,2.53,31.73,69.25,58.63
HUM,3.63,46.31,68.51,46.11
HUM,10.81,56.49,67.51,61.87
HUM,3,31.11,63.51,64.73
HUM,3.93,55.31,63.04,66.47
