SOURCE,TARGET
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Force,Relationships
Source-Path-Goal,Relationships
Source-Path-Goal,Relationships
Source-Path-Goal,Relationships
Source-Path-Goal,Relationships
Source-Path-Goal,Relationships
Source-Path-Goal,Relationships
Source-Path-Goal,Relationships
Source-Path-Goal,Relationships
Source-Path-Goal,Relationships
Source-Path-Goal,Relationships
Source-Path-Goal,Relationships
Source-Path-Goal,Relationships
Up-down,Relationships
Up-down,Relationships
Up-down,Relationships
Up-down,Relationships
Object,Relationships
Object,Relationships
Object,Relationships
Object,Relationships
Object,Relationships
Object,Relationships
Container,Relationships
Container,Relationships
Container,Relationships
Container,Relationships
Force,Emotions
Force,Emotions
Force,Emotions
Force,Emotions
Force,Emotions
Force,Emotions
Force,Emotions
Force,Emotions
Force,Emotions
Force,Emotions
Source-Path-Goal,Emotions
Source-Path-Goal,Emotions
Source-Path-Goal,Emotions
Source-Path-Goal,Emotions
Up-down,Emotions
Up-down,Emotions
Up-down,Emotions
Up-down,Emotions
Up-down,Emotions
Up-down,Emotions
Up-down,Emotions
Up-down,Emotions
Up-down,Emotions
Up-down,Emotions
Up-down,Emotions
Up-down,Emotions
Up-down,Emotions
Up-down,Emotions
Up-down,Emotions
Object,Emotions
Container,Emotions
Container,Emotions
Container,Emotions
Container,Emotions
Container,Emotions
Container,Emotions
Force,Health
Force,Health
Force,Health
Force,Health
Force,Health
Force,Health
Force,Health
Force,Health
Force,Health
Source-Path-Goal,Health
Source-Path-Goal,Health
Source-Path-Goal,Health
Source-Path-Goal,Health
Source-Path-Goal,Health
Up-down,Health
Up-down,Health
Up-down,Health
Up-down,Health
Up-down,Health
Object,Health
Object,Health
Object,Health
Container,Health
Container,Health
Force,Counseling
Force,Counseling
Force,Counseling
Force,Counseling
Source-Path-Goal,Counseling
Source-Path-Goal,Counseling
Source-Path-Goal,Counseling
Source-Path-Goal,Counseling
Source-Path-Goal,Counseling
Source-Path-Goal,Counseling
Source-Path-Goal,Counseling
Source-Path-Goal,Counseling
Source-Path-Goal,Counseling
Source-Path-Goal,Counseling
Source-Path-Goal,Counseling
Source-Path-Goal,Counseling
Source-Path-Goal,Counseling
Up-down,Counseling
Up-down,Counseling
Object,Counseling
Object,Counseling
Object,Counseling
Object,Counseling
Object,Counseling
Object,Counseling
Object,Counseling
Object,Counseling
Container,Counseling
Force,Life
Force,Life
Force,Life
Force,Life
Force,Life
Force,Life
Force,Life
Force,Life
Force,Life
Source-Path-Goal,Life
Source-Path-Goal,Life
Source-Path-Goal,Life
Source-Path-Goal,Life
Source-Path-Goal,Life
Source-Path-Goal,Life
Source-Path-Goal,Life
Source-Path-Goal,Life
Source-Path-Goal,Life
Source-Path-Goal,Life
Source-Path-Goal,Life
Source-Path-Goal,Life
Source-Path-Goal,Life
Source-Path-Goal,Life
Source-Path-Goal,Life
Object,Life
Container,Life
Container,Life
