Session,Analytic,Clout,Authentic,Tone
C1,7.2,11.6,95.16,59.63
C2,4.59,14.94,92.75,60.95
C3,8.49,15.99,92.94,51.18
C4,6.76,16.41,88.04,50.45
C5,5.26,19.92,83.7,81.93
C6,4.23,38.41,73.35,34.36
C7,5.38,9.82,92.72,41.34
C8,1.89,8.74,97.23,48.31
C9,5.35,20.47,92.83,50.54
C10,3.22,20.56,85.43,44.17
C11,5.08,8.66,95.22,75.85
C12,6.09,16.98,86.3,43.6
C13,5.75,32.15,76.13,64.51
C14,6.27,18.84,85.88,78.6
T1,15.4,90.23,50.24,58.7
T2,11.88,92.89,51.82,62.78
T3,17.9,88.02,54.4,64.12
T4,16.87,93.37,46.92,61.21
T5,9.17,94.7,47.28,74.81
T6,15.01,91.05,44.97,74.45
T7,11.37,87.56,59.66,46.79
T8,12.74,90.6,57.11,72.19
T9,17.91,88.03,40.12,51.58
T10,12.06,90.37,39.1,58.91
T11,19.2,92.56,56.03,75.48
T12,16.37,92.4,48.83,74.9
T13,15.69,80.49,60.4,65.98
T14,24.48,87.23,43.96,72.94
