ID,Q 1,Q 2*,Q 3,Q 4*,Q 5*,Q 6*,Q 7,Q 8,Q 9*,Q 10,Q 11,Q 12,Q 13,Q 14,Q 15,Q 16,Q 17,Q 18,Q 19*,Q 20*,ABILITY,INTEREST,P_GROWTH,UTILITY,Category,SW,OT,Strengths,Weaknesses,S/W,Opport,Threats,O/T
0,5,3,4,5,4,5,5,5,5,5,5,5,4,3,4,4,4,4,4,3,4.2,5,4.2,3.8,SO,S,O,I have some conceptual knowledge about math and logic?but I am not familiar with the practical codes in python ,I have little experience in actual coding.,More strength ,The online platform for coding practice and I am interested in coding from which I see the results immediately ,I am worried about whether I could have a systematic understanding about the analysis and techniques since I often just googled the practical codes I need ,More Opportunities 
1,5,4,4,5,4,4,5,5,4,5,4,4,5,5,4,4,5,5,5,3,4.4,4.6,4.4,4.4,SO,S,O,1. Creativity 2. The passion for learning something new,Do not have enough time,Absolutely more strength -- and that is why I am taking this course.,"1. Open resources from Google, lib, etc. 2. People around me are also interested in data analytics and programming. So I can learn it together with others.","Debugging, definitely.","Of course, opportunities, as we have an excellent course instructor from FH6058."
2,4,5,4,5,4,5,5,5,5,5,5,5,4,5,4,5,5,4,3,4,4.4,5,4.6,4.2,SO,S,O,I have basic knowledge of mathematics and machine learning models. ,My programming skills are poor.,"On the whole, I have more strengths for learning data analytics and programming.<br><br>",There are many online resources that may help me to learn data analytics and programming. ,It is very difficult for me to find someone to turn to If I encounter some errors when running my codes. ,"On the whole,  I face more opportunities when learning data analytics and programming."
3,4,2,3,2,3,5,4,4,5,4,5,5,5,5,5,4,4,4,4,3,2.8,4.4,5,3.8,SO,S,O,"I am hard-working, and I have strong interest in exploring new skills in information technologies.",I'm not good at mathematics and logical thinking. \n,"Data analytics and programming are very helpful and beneficial for my future research, especially for my thesis writing. That's the motivation for me to learn this skill.",I'm lucky to have this opportunity to learn data analytics and programming in FH6058 and I will make good use of Datacamp in PolyU library.,I always feel frustrated when I read various tables and plots. ,"I'm a new beginner of programming and data analytics, it's a good opportunity and very exciting for me to start learning new skills. \n"
4,5,3,4,5,4,5,5,5,5,5,5,4,4,5,4,5,4,3,4,3,4.2,5,4.4,3.8,SO,S,O,Patience and perseverence,"Patience, interest and perseverance",More strengths,"Good teachers, courses like FH6058, and equipment in the classroom.",shortage of skills,More opportunities
5,5,3,4,3,4,4,4,4,4,4,4,5,4,4,4,4,3,2,3,3,3.8,4,4.2,3,SO,S,O,"Data analytics and programming is a relatively new concept to me. The most relatable experience to that would be collecting spontaneous electronic data to do corpus research. I learnt how words can become useful data and analysis it through several platforms like COCA and sketch engine. One concept I embedded in mind is that language data can be so powerful if we analyse it properly. Through different aspects and methods, the same set of data reflects different results and those results reflects how things works in real life.","I don't have a strong sense in mathematics so if the programming process involves some kind of mathematical progress, I may need some time to understand it.",I think I have more strengths for learning data analytics and programming because I am really interested in how language data reflects or even predicts the world and I am so curious that I enjoy learning new skills.,"For me, watching instructional videos always help me to understand and get a better picture of how to work with codes and programs. Of course, consultations with instructors help a lot too.","If I can't understand the concept of the code or there are some bugs in the program, that troubles me a lot when learning it.",I face more opportunities when learning data analytics and programming because this class is already a very good introduction and instruction to acquire the basic concept and skills of data analytics.
6,4,3,2,2,2,3,3,4,2,3,4,5,4,5,4,5,3,3,4,3,2.6,3,4.4,3.6,SO,S,O,"I can use office tools at a basic level, and I also have attented introductory courses in C++, MATLAB and Python once, but I lack the opportunities to practice my programming skills, since I have always been the one reponsible for the writing and modelling parts of the group project, where I only proposed the details of the requests and someone would achieve them for me. Therefore, I would like to force myself to be more familiar with programming, and my advantage is that I have already knew some background knowledge in terms of the basic grammar and structure for Python and I know exactly what I want to get from Python, but I only need to practice more and more.\n<br>","As mentioned before, the disadvantages are me being not familiar with the programming, always being afraid and avoid programming, and lack practicing. ",More strengths.,"The assignments and projects of the course may force me to pratice, otherwise I always will avoid programming when there are no stress.",1 When there are errors that stop the program from running.\n2 When there are something wrong with the platform I implemented.,More opportunities.
7,3,3,3,3,3,3,5,5,3,4,4,5,4,4,4,5,4,4,3,3,3,4,4.2,3.8,SO,S,O,I am interested in using new tools to faciltate my research.,I am not good at dealing with numbers and lack of experiences doing data analytics.,More strengths.,"classmates discussions, online tutorial and so on.",The instructor  delivers too much knlowldge instead of offering hands-on traninng.,More opportunities.
8,4,4,3,4,4,4,5,5,5,5,5,5,5,5,5,4,5,3,3,3,3.8,4.8,5,3.6,SO,S,O,I tackle problems logically and prefer clear solutions,Impatient. I find it challenging to focus on a single detail for too long. may miss the bigger picture: I may focus too much on individual parts and techniques and lose sight of the whole picture.,"Strengths outweigh weaknesses in learning DA and programming owing to motivation and interest. Additionally, I believe the weaknesses can be gradually mitigated by mindfully focusing on telling a good coherent story based on data; and the advantages can be strengthened with improved skills and deliberate practice.",online platforms like datacamp,Time constraint,More opportunities if I can stick to my schedule and be conscientious.
9,3,2,3,3,4,3,4,4,4,4,5,4,4,5,4,5,4,3,3,3,3,3.8,4.4,3.6,SO,S,O,I finish some part of the traning course on datacamp and I have strong inteeest in learning it.,lack of programming knowledge and logic thinking,I have more strengths,datacamp course is so helpful!   The help of my best friend who works as a programmer would be another resource. ,not following the course,more opportunities 
