Filename,Segment,Analytic,Clout,Authentic,Tone,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
20060512 Getting high on vesak.docx,1,26.12,84.77,48.78,94.83,55.46,19.89,9.88,2.65,1.71,4.05,0.57,0.89,9.96,5.40,10.89,10.42,8.12,5.20,2.57,20.07,4.29,1.45,3.83,1.87,2.68,7.83,6.18,1.62,0.19,0.52,0.20,12.95,0.32,0.19,0.25,0.91,13.66,3.07,2.50,1.45,2.65,1.72,3.17,2.67,1.35,0.93,0.27,2.01,0.74,0.89,0.12,0.12,8.37,2.80,1.45,2.45,1.81,0.71,3.28,14.45,1.30,13.95,2.14,6.89,5.08,2.45,0.79,0.30,0.56,0.76,0.20,2.50,0.05,0.41,1.57,0.69,0.02,21.53,11.01,4.95,0.00,0.00,1.69,0.03,0.00,0.00,3.78,0.00,0.07
20070105 Control and Freedom .docx,1,17.16,86.66,42.72,53.10,61.31,21.09,11.95,3.24,1.38,5.58,0.40,1.34,9.08,5.14,11.77,11.54,7.58,8.51,2.42,20.64,4.13,2.24,3.87,1.08,2.23,6.02,3.73,2.27,0.46,0.58,0.38,14.39,0.44,0.25,0.18,0.62,16.23,2.75,4.26,1.60,3.53,1.32,4.50,2.25,0.89,0.79,0.41,1.85,0.47,0.92,0.09,0.35,10.48,2.33,1.84,4.77,1.78,0.81,3.50,15.23,1.15,11.41,1.86,4.97,4.69,1.67,0.53,0.17,0.42,0.82,0.14,0.52,0.08,0.01,0.15,0.20,0.07,4.47,0.01,0.01,0.00,0.00,0.00,0.00,0.21,0.00,4.23,0.00,0.01
20070112 Superstitions.docx,1,18.82,82.15,44.26,50.23,60.81,21.09,10.97,2.81,1.38,4.49,1.03,1.26,10.11,5.92,11.50,11.24,7.75,8.37,2.30,20.37,3.77,1.71,3.22,1.22,2.59,5.45,3.35,2.03,0.31,0.69,0.16,12.82,0.16,0.07,0.37,0.90,14.75,3.38,1.75,1.69,4.23,1.56,4.19,2.71,1.01,0.82,0.31,1.40,0.60,0.42,0.02,0.30,7.07,1.87,1.13,2.09,1.55,0.71,4.29,14.63,1.41,12.47,1.91,5.23,5.35,1.46,0.62,0.13,0.47,1.94,0.52,0.57,0.18,0.03,0.12,0.22,0.02,4.72,0.02,0.03,0.00,0.00,0.00,0.00,0.14,0.00,4.49,0.00,0.03
20070119 The buddhist attitude to sensuality.docx,1,22.12,77.27,51.24,30.02,62.18,19.31,9.45,2.04,2.18,3.79,0.59,0.86,9.84,6.29,12.33,11.34,8.15,9.01,2.51,19.55,3.96,2.25,3.16,1.00,2.27,4.93,2.57,2.32,0.17,0.24,0.17,11.79,0.24,0.12,0.68,0.51,15.65,2.93,2.22,1.99,3.91,1.38,5.71,2.13,1.04,0.63,0.23,2.57,0.28,0.86,0.76,0.77,8.45,2.88,1.28,1.83,1.38,1.59,3.04,14.74,1.37,13.09,2.15,6.17,4.88,1.00,0.85,0.13,0.62,1.32,0.02,0.33,0.01,0.01,0.14,0.10,0.09,18.99,6.28,6.55,0.02,0.03,0.57,0.08,0.57,0.73,4.13,0.02,0.02
20070209 Talk your way to happiness.docx,1,30.59,90.06,42.73,64.97,59.73,19.29,10.60,1.51,2.10,4.58,1.00,1.42,8.64,6.38,12.58,9.07,7.88,8.85,1.93,17.00,4.69,2.36,3.13,1.35,2.72,6.29,4.15,2.08,0.32,0.55,0.23,14.61,0.74,0.19,0.52,1.08,14.10,2.64,2.56,1.29,3.35,1.49,4.98,3.61,1.20,1.81,0.42,1.25,0.26,0.70,0.02,0.26,9.25,3.38,1.69,2.35,1.82,0.78,2.65,12.98,0.80,13.06,2.21,6.91,4.13,1.68,0.83,0.30,0.43,1.15,0.05,0.55,0.02,0.14,0.12,0.24,0.03,18.22,6.59,5.32,0.29,0.26,0.37,0.25,0.45,0.62,4.07,0.00,0.00
20070302 Is nibbana guaranteed.docx,1,18.74,83.51,47.81,61.93,62.43,20.61,11.57,2.94,2.43,3.78,1.15,1.27,9.04,6.34,11.78,10.35,8.59,8.99,2.95,19.53,4.61,2.32,3.66,0.62,2.78,6.10,3.98,2.08,0.24,0.64,0.44,14.43,0.40,0.21,0.34,1.18,15.50,3.73,1.93,1.52,3.48,1.92,4.97,1.94,0.76,0.81,0.23,1.48,0.33,0.72,0.15,0.26,9.45,3.80,1.81,2.44,1.81,0.51,3.61,14.82,0.94,11.70,1.94,5.40,4.48,1.96,0.46,0.23,0.59,1.17,0.16,0.65,0.03,0.07,0.19,0.27,0.06,4.70,0.03,0.00,0.00,0.00,0.00,0.00,0.18,0.00,4.48,0.00,0.00
20070316 Higher critism.docx,1,19.41,86.68,51.67,33.45,61.78,20.19,10.79,2.11,2.11,3.86,0.78,1.92,9.38,6.42,11.13,10.46,9.03,8.57,2.33,19.34,4.38,2.45,3.49,1.01,2.36,6.07,3.24,2.79,0.11,1.64,0.29,14.26,0.26,0.26,0.18,1.02,16.12,3.60,3.03,1.59,3.81,1.58,4.66,3.04,1.13,1.36,0.28,0.63,0.28,0.22,0.00,0.13,7.38,2.78,1.13,2.11,1.62,0.50,4.04,14.20,1.05,13.24,2.23,5.67,5.50,1.01,0.41,0.09,0.17,0.87,0.07,0.80,0.02,0.16,0.38,0.29,0.01,3.99,0.02,0.01,0.00,0.00,0.00,0.00,0.12,0.00,3.83,0.00,0.01
20070413 Building a house of peace.docx,1,37.48,80.03,55.92,68.91,58.25,18.06,10.27,2.99,1.17,3.82,1.43,0.85,7.74,6.94,12.88,9.09,7.41,8.88,1.80,18.30,5.18,2.63,3.28,1.16,2.52,6.29,4.27,1.98,0.22,0.68,0.27,11.52,0.31,0.15,0.54,1.29,12.47,3.04,2.20,1.06,2.23,1.92,3.26,3.28,1.63,0.77,0.43,2.50,0.74,0.85,0.09,0.66,7.39,2.05,1.06,2.58,1.58,0.59,4.93,11.60,1.08,15.09,2.60,7.24,5.48,1.19,1.52,0.48,0.21,1.89,0.12,0.41,0.02,0.02,0.19,0.17,0.01,3.80,0.26,0.00,0.04,0.00,0.00,0.00,0.14,0.00,3.36,0.00,0.00
20070427 Investigations into the ethics of murder.docx,1,37.22,79.37,33.14,31.43,61.35,17.14,8.95,2.11,1.16,2.65,1.87,1.16,8.19,7.82,12.86,11.57,6.87,8.44,2.17,19.56,3.66,2.01,3.11,1.61,1.90,5.63,2.95,2.62,0.41,0.91,0.29,13.41,0.45,0.28,1.06,1.57,15.07,3.35,2.35,2.03,4.00,1.64,4.71,2.49,0.99,0.87,0.41,1.79,0.28,1.28,0.26,0.06,7.47,2.09,0.88,2.78,1.10,0.95,4.99,12.30,1.25,12.12,1.97,5.82,4.40,1.58,0.24,0.06,0.21,1.28,0.69,0.45,0.03,0.08,0.23,0.13,0.00,3.65,0.00,0.01,0.00,0.00,0.00,0.00,0.38,0.00,3.24,0.00,0.02
20070511 Freedom- The path to happiness.docx,1,28.33,83.18,39.80,9.40,61.42,19.94,11.00,2.85,1.56,3.64,1.48,1.47,8.91,6.92,12.38,11.48,6.83,7.55,2.48,19.62,4.09,2.00,3.45,1.16,2.26,8.00,3.28,4.61,0.19,1.40,1.14,14.08,0.44,0.12,1.11,1.01,13.60,2.73,2.39,1.75,2.78,1.63,4.18,2.57,0.88,0.62,0.89,1.95,0.27,1.24,0.10,0.15,6.75,2.34,0.75,2.33,0.96,0.78,5.68,12.13,0.76,12.93,2.47,6.05,4.91,1.30,0.43,0.17,0.47,0.77,0.77,0.47,0.16,0.05,0.16,0.11,0.01,20.12,4.95,8.26,0.15,0.02,0.62,0.17,0.52,0.85,4.21,0.34,0.03
