Country,Continent,HDI,Happiness,GDP_pc,Life_exp,Pop,Regime,Democracy
Afghanistan,ASIAP,LOW,3.632,601.252,60.5,2.878,Authoritarian,0
Algeria,AFR,HIGH,5.295,4669.224,75.6,43.851,Authoritarian,0
Angola,AFR,MEDIUM,3.795,4114.539,52.4,32.866,Authoritarian,0
Azerbaijan,ASIAP,HIGH,5.201,4575.776,72.7,10.139,Authoritarian,0
Bahrain,ASIAP,V_HIGH,6.105,25546.88,76.9,1.701,Authoritarian,0
Belarus,EUR,V_HIGH,5.483,6300.587,72.3,9.449,Authoritarian,0
Burkina Faso,AFR,LOW,4.424,750.625,59.9,20.903,Authoritarian,0
Burundi,AFR,LOW,2.905,339.894,59.6,11.89,Authoritarian,0
Cambodia,ASIAP,MEDIUM,4.433,1498.816,68.7,16.718,Authoritarian,0
Cameroon,AFR,MEDIUM,4.975,1570.227,57.3,26.545,Authoritarian,0
Central African Republic,AFR,LOW,3.083,425.964,52.5,4.829,Authoritarian,0
Chad,AFR,LOW,4.301,919.603,53.1,16.425,Authoritarian,0
China,ASIAP,HIGH,5.246,10087.827,76.1,1439.323,Authoritarian,0
Democratic Rep of the Congo,AFR,MEDIUM,4.245,477.782,59.8,89.56,Authoritarian,0
Egypt,AFR,HIGH,4.419,2501,70.9,102.334,Authoritarian,0
Ethiopia,AFR,LOW,4.35,909.985,64.8,114.963,Authoritarian,0
Gabon,AFR,HIGH,4.758,9029.672,66,2.225,Authoritarian,0
Guinea,AFR,MEDIUM,3.964,816.45,59,13.132,Authoritarian,0
Haiti,AMER,LOW,3.582,847.091,63.5,11.402,Authoritarian,0
Iran,ME,HIGH,4.707,5085.909,75.5,83.992,Authoritarian,0
Iraq,ME,MEDIUM,4.456,5601.469,68.9,40.222,Authoritarian,0
Jordan,ME,HIGH,5.161,5837.503,74.1,10.203,Authoritarian,0
Kazakhstan,ASIAP,V_HIGH,5.79,9708.82,70.2,18.776,Authoritarian,0
Kuwait,ME,V_HIGH,6.083,29879.781,74.7,4.27,Authoritarian,0
Kyrgyzstan,ASIAP,MEDIUM,5.131,1187.714,71.1,6.524,Authoritarian,0
Laos,ASIAP,MEDIUM,4.623,2705.899,65.7,7.275,Authoritarian,0
Lebanon,ME,HIGH,5.199,11775.155,74.9,6.825,Authoritarian,0
Libya,AFR,HIGH,5.566,6699.897,72.7,6.871,Authoritarian,0
Mali,AFR,LOW,4.447,917.479,58.2,20.25,Authoritarian,0
Mozambique,AFR,LOW,4.417,472.044,57.6,31.255,Authoritarian,0
Myanmar,ASIAP,MEDIUM,4.308,1338.488,66.6,54.409,Authoritarian,0
Nicaragua,AMER,MEDIUM,6.141,2309.74,74.8,6.624,Authoritarian,0
Niger,AFR,LOW,4.166,510.323,61.8,24.206,Authoritarian,0
Palestinian Territories,ME,HIGH,4.743,2900,73.1,4.5,Authoritarian,0
Qatar,ME,V_HIGH,6.374,66202.094,78.2,2.881,Authoritarian,0
Republic of the Congo,AFR,LOW,4.559,2349.676,64.7,5.518,Authoritarian,0
Russia,EUR,V_HIGH,5.81,11946.653,70.5,145.934,Authoritarian,0
Rwanda,AFR,LOW,3.408,819.652,66.1,12.952,Authoritarian,0
Saudi Arabia,ME,V_HIGH,6.371,22649.613,74.5,34.813,Authoritarian,0
Sudan,AFR,LOW,4.139,992.652,64.1,43.849,Authoritarian,0
Syria,ME,MEDIUM,3.462,2802,64.5,17.5,Authoritarian,0
Tajikistan,ASIAP,MEDIUM,5.352,848.958,69.7,9.537,Authoritarian,0
Togo,AFR,LOW,3.999,698.682,59.9,8.278,Authoritarian,0
Turkmenistan,ASIAP,HIGH,5.636,7340.72,66.3,6.031,Authoritarian,0
United Arab Emirates,ME,V_HIGH,6.774,39483.545,77.1,9.9,Authoritarian,0
Uzbekistan,ASIAP,HIGH,6.096,1238.215,69.4,33.469,Authoritarian,0
Venezuela,AMER,HIGH,4.806,3168.413,74.1,28.435,Authoritarian,0
Vietnam,ASIAP,HIGH,5.103,2545.909,76,87.338,Authoritarian,0
Yemen,AFR,LOW,3.355,449.115,65.7,29.825,Authoritarian,0
Zimbabwe,AFR,MEDIUM,3.692,1270.724,60.7,14.862,Authoritarian,0
Albania,AFR,HIGH,4.586,5319.279,77.8,43.851,Flawed,1
Argentina,AMER,V_HIGH,6.388,14043.675,76.3,45.196,Flawed,1
Belgium,EUR,V_HIGH,6.927,49271.967,81.1,11.589,Flawed,1
Botswana,AFR,HIGH,3.59,8443.106,65.7,2.351,Flawed,1
