Country,Continent_string,Continent,HDI_string,HDI,Happiness,GDP_pc,Life_exp,Pop,Regime
Afghanistan,ASIAP,2,LOW,0,3.632,601.252,60.5,2.878,Authoritarian
Albania,AFR,0,HIGH,2,4.586,5319.279,77.8,43.851,Flawed
Algeria,AFR,0,HIGH,2,5.295,4669.224,75.6,43.851,Authoritarian
Angola,AFR,0,MEDIUM,1,3.795,4114.539,52.4,32.866,Authoritarian
Argentina,AMER,1,V_HIGH,3,6.388,14043.675,76.3,45.196,Flawed
Armenia,EUR,3,HIGH,2,4.321,4022.1,74.8,2.963,Hybrid
Australia,ASIAP,2,V_HIGH,3,7.272,59655.413,82.8,25.499,Full
Austria,EUR,3,V_HIGH,3,7.139,53764.128,81.5,9.006,Full
Azerbaijan,ASIAP,2,HIGH,2,5.201,4575.776,72.7,10.139,Authoritarian
Bahrain,ASIAP,2,V_HIGH,3,6.105,25546.88,76.9,1.701,Authoritarian
Bangladesh,ASIAP,2,MEDIUM,1,4.5,1733.513,71.8,164.689,Hybrid
Belarus,EUR,3,V_HIGH,3,5.483,6300.587,72.3,9.449,Authoritarian
Belgium,EUR,3,V_HIGH,3,6.927,49271.967,81.1,11.589,Flawed
Benin,AFR,0,LOW,0,4.141,966.363,60,12.123,Hybrid
Bhutan,ASIAP,2,MEDIUM,1,5.082,3117.847,69.8,0.771,Hybrid
Bolivia,AMER,1,HIGH,2,5.752,3621.795,70.7,11.673,Hybrid
Bosnia and Herzegovina,EUR,3,HIGH,2,5.129,5805.516,77.4,3.28,Hybrid
Botswana,AFR,0,HIGH,2,3.59,8443.106,65.7,2.351,Flawed
Brazil,AMER,1,HIGH,2,6.419,10224.028,75,212.559,Flawed
Bulgaria,EUR,3,V_HIGH,3,4.933,9226.602,74.5,6.948,Flawed
Burkina Faso,AFR,0,LOW,0,4.424,750.625,59.9,20.903,Authoritarian
Burundi,AFR,0,LOW,0,2.905,339.894,59.6,11.89,Authoritarian
Cambodia,ASIAP,2,MEDIUM,1,4.433,1498.816,68.7,16.718,Authoritarian
Cameroon,AFR,0,MEDIUM,1,4.975,1570.227,57.3,26.545,Authoritarian
Canada,AMER,1,V_HIGH,3,7.328,48466.329,82.2,37.742,Full
Central African Republic,AFR,0,LOW,0,3.083,425.964,52.5,4.829,Authoritarian
Chad,AFR,0,LOW,0,4.301,919.603,53.1,16.425,Authoritarian
Chile,AMER,1,V_HIGH,3,6.476,15087.311,80.5,19.116,Flawed
China,ASIAP,2,HIGH,2,5.246,10087.827,76.1,1439.323,Authoritarian
Colombia,AMER,1,HIGH,2,6.26,6581.387,74.8,50.882,Flawed
Costa Rica,AMER,1,V_HIGH,3,7.072,12188.707,79.6,5.094,Full
Croatia,EUR,3,V_HIGH,3,5.321,14788.357,78,4.105,Flawed
Cyprus,EUR,3,V_HIGH,3,5.762,28682.363,80.5,1.207,Flawed
Czech Republic,EUR,3,V_HIGH,3,6.711,23749.531,78.8,10.708,Flawed
Democratic Rep of the Congo,AFR,0,MEDIUM,1,4.245,477.782,59.8,89.56,Authoritarian
Denmark,EUR,3,V_HIGH,3,7.555,63829.704,80.6,5.792,Full
Dominican Republic,AMER,1,HIGH,2,5.302,7830.202,73.9,10.847,Flawed
Ecuador,AMER,1,HIGH,2,5.973,6263.192,76.2,17.643,Hybrid
Egypt,AFR,0,HIGH,2,4.419,2501,70.9,102.334,Authoritarian
El Salvador,AMER,1,MEDIUM,1,6.167,4596.227,73.5,6.486,Hybrid
Estonia,EUR,3,V_HIGH,3,5.739,23610.453,77.6,1.326,Flawed
Ethiopia,AFR,0,LOW,0,4.35,909.985,64.8,114.963,Authoritarian
Finland,EUR,3,V_HIGH,3,7.632,52422.304,81.1,5.54,Full
France,EUR,3,V_HIGH,3,6.489,44933.907,82.4,65.273,Flawed
Gabon,AFR,0,HIGH,2,4.758,9029.672,66,2.225,Authoritarian
Georgia,EUR,3,V_HIGH,3,4.34,4370.177,74.4,3.989,Hybrid
Germany,EUR,3,V_HIGH,3,6.965,50841.666,81,83.783,Full
Ghana,AFR,0,MEDIUM,1,4.657,1779.893,62.4,31.072,Flawed
Greece,EUR,3,V_HIGH,3,5.358,21144.184,81,10.423,Flawed
Guatemala,AMER,1,MEDIUM,1,6.382,4770.736,71.9,17.915,Hybrid
Guinea,AFR,0,MEDIUM,1,3.964,816.45,59,13.132,Authoritarian
Haiti,AMER,1,LOW,0,3.582,847.091,63.5,11.402,Authoritarian
Honduras,AMER,1,MEDIUM,1,5.504,2851.21,74.6,9.904,Hybrid
