,Country,Continent_string,Continent,HDI_string,HDI,Happiness,GDP_pc,Life_exp,Pop,Regime,GDP_log
0,Afghanistan,ASIAP,2,LOW,0,3.632,601.252,60.5,2.878,Authoritarian,6.399014148
1,Albania,AFR,0,HIGH,2,4.586,5319.279,77.8,43.851,Flawed,8.579093047
2,Algeria,AFR,0,HIGH,2,5.295,4669.224,75.6,43.851,Authoritarian,8.44874817
3,Angola,AFR,0,MEDIUM,1,3.795,4114.539,52.4,32.866,Authoritarian,8.322282078
4,Argentina,AMER,1,V_HIGH,3,6.388,14043.675,76.3,45.196,Flawed,9.549927395
5,Armenia,EUR,3,HIGH,2,4.321,4022.1,74.8,2.963,Hybrid,8.299559433
6,Australia,ASIAP,2,V_HIGH,3,7.272,59655.413,82.8,25.499,Full,10.99634017
7,Austria,EUR,3,V_HIGH,3,7.139,53764.128,81.5,9.006,Full,10.89236176
8,Azerbaijan,ASIAP,2,HIGH,2,5.201,4575.776,72.7,10.139,Authoritarian,8.428531581
9,Bahrain,ASIAP,2,V_HIGH,3,6.105,25546.88,76.9,1.701,Authoritarian,10.14827047
10,Bangladesh,ASIAP,2,MEDIUM,1,4.5,1733.513,71.8,164.689,Hybrid,7.457905264
11,Belarus,EUR,3,V_HIGH,3,5.483,6300.587,72.3,9.449,Authoritarian,8.748398083
12,Belgium,EUR,3,V_HIGH,3,6.927,49271.967,81.1,11.589,Flawed,10.80511058
13,Benin,AFR,0,LOW,0,4.141,966.363,60,12.123,Hybrid,6.87353954
14,Bhutan,ASIAP,2,MEDIUM,1,5.082,3117.847,69.8,0.771,Hybrid,8.044897978
15,Bolivia,AMER,1,HIGH,2,5.752,3621.795,70.7,11.673,Hybrid,8.194725038
16,Bosnia and Herzegovina,EUR,3,HIGH,2,5.129,5805.516,77.4,3.28,Hybrid,8.666563779
17,Botswana,AFR,0,HIGH,2,3.59,8443.106,65.7,2.351,Flawed,9.041105529
18,Brazil,AMER,1,HIGH,2,6.419,10224.028,75,212.559,Flawed,9.232495915
19,Bulgaria,EUR,3,V_HIGH,3,4.933,9226.602,74.5,6.948,Flawed,9.129846112
20,Burkina Faso,AFR,0,LOW,0,4.424,750.625,59.9,20.903,Authoritarian,6.620906193
21,Burundi,AFR,0,LOW,0,2.905,339.894,59.6,11.89,Authoritarian,5.828633804
22,Cambodia,ASIAP,2,MEDIUM,1,4.433,1498.816,68.7,16.718,Authoritarian,7.312430742
23,Cameroon,AFR,0,MEDIUM,1,4.975,1570.227,57.3,26.545,Authoritarian,7.358975474
24,Canada,AMER,1,V_HIGH,3,7.328,48466.329,82.2,37.742,Full,10.78862459
25,Central African Republic,AFR,0,LOW,0,3.083,425.964,52.5,4.829,Authoritarian,6.054354836
26,Chad,AFR,0,LOW,0,4.301,919.603,53.1,16.425,Authoritarian,6.823942055
27,Chile,AMER,1,V_HIGH,3,6.476,15087.311,80.5,19.116,Flawed,9.621609338
28,China,ASIAP,2,HIGH,2,5.246,10087.827,76.1,1439.323,Authoritarian,9.219084728
29,Colombia,AMER,1,HIGH,2,6.26,6581.387,74.8,50.882,Flawed,8.792000792
30,Costa Rica,AMER,1,V_HIGH,3,7.072,12188.707,79.6,5.094,Full,9.408265146
31,Croatia,EUR,3,V_HIGH,3,5.321,14788.357,78,4.105,Flawed,9.601595461
32,Cyprus,EUR,3,V_HIGH,3,5.762,28682.363,80.5,1.207,Flawed,10.26403768
33,Czech Republic,EUR,3,V_HIGH,3,6.711,23749.531,78.8,10.708,Flawed,10.07531806
34,Democratic Rep of the Congo,AFR,0,MEDIUM,1,4.245,477.782,59.8,89.56,Authoritarian,6.169154562
35,Denmark,EUR,3,V_HIGH,3,7.555,63829.704,80.6,5.792,Full,11.06397394
36,Dominican Republic,AMER,1,HIGH,2,5.302,7830.202,73.9,10.847,Flawed,8.965743587
