Date,Source,Headline
11-Jun-19,SCMP,Protest shows government must work harder to convince public
13-Jun-19,SCMP,Hong Kongs crisis needs to be defused as chaos and economic woe loom
15-Jun-19,SCMP,The Hong Kong government must do whatever it can to placate extradition row
16-Jun-19,SCMP,Decision to suspend extradition bill is a belated but right step forward
16-Jun-19,SCMP,Hong Kong courts deliver justice with compassion
17-Jun-19,SCMP,Carrie Lam must exercise political wisdom and convince public of sincerity
22-Jun-19,SCMP,Protesters risk losing public support if wildcat actions drag on
29-Jun-19,SCMP,Relationship between police and disaffected must be swiftly healed
1-Jul-19,SCMP,Attacks on journalists cannot be tolerated
2-Jul-19,SCMP,Hong Kongs future hinges on restoration of law and order
2-Jul-19,SCMP,Hong Kongs success depends on respect for the rule of law
4-Jul-19,SCMP,Society cannot afford to ignore wake-up call on youth suicides
8-Jul-19,SCMP,Politics best kept out of liberal studies review for schools
9-Jul-19,SCMP,Hong Kong needs to learn from past if it is to move forward
12-Jul-19,SCMP,"Extradition bill saga calls for overhaul, not quick fixes, at Executive Council"
14-Jul-19,SCMP,Surge in voter registration a sign of growing civic awareness
15-Jul-19,SCMP,Society needs to unite in call for calm after eruption of violence
17-Jul-19,SCMP,Hong Kong police caught between a rock and hard place
19-Jul-19,SCMP,University of Hong Kong chief shows way to go in political crisis
20-Jul-19,SCMP,"Cycle of violence has become predictable Hongkongers have the right to protest, but laws have to be followed and violence can never be justified"
22-Jul-19,SCMP,Enough is enough: this cycle of violence has to come to an end
25-Jul-19,SCMP,Leadership and cool heads needed to stop Hong Kongs slide towards anarchy
29-Jul-19,SCMP,"Show of leadership needed, starting from the top"
1-Aug-19,SCMP,Urgent action needed as Hong Kongs political crisis continues to escalate
1-Aug-19,SCMP,Go-slow efforts to end US-China trade war add to the pressure on Hong Kong
3-Aug-19,SCMP,Both Wall Street and Hong Kong streets have impact on the citys markets
4-Aug-19,SCMP,Conundrum for government as civil servants take a stand
6-Aug-19,SCMP,Its more urgent than ever for cool heads to prevail
8-Aug-19,SCMP,It is imperative that all in Hong Kong give peace a real chance
10-Aug-19,SCMP,Lam should produce concrete measures for citys economic growth
10-Aug-19,SCMP,Laser pointers need to be used with care
13-Aug-19,SCMP,Political solution only way to return Hong Kong to peace and stability
13-Aug-19,SCMP,Targeting the airport is a step too far as it puts economy at risk
14-Aug-19,SCMP,Global brands should be politically astute
14-Aug-19,SCMP,Violence at airport must be condemned and offenders brought to justice
15-Aug-19,SCMP,Protests put pressure on city companies to get balance right
16-Aug-19,SCMP,More than money needed to resolve citys political crisis
19-Aug-19,SCMP,Carrie Lam needs to offer positive response after peaceful rally
20-Aug-19,SCMP,Further steps needed from Carrie Lam to lift city out of political crisis
20-Aug-19,SCMP,Give Hong Kong the space to resolve its crisis
21-Aug-19,SCMP,"Hong Kong police must be above reproach, no matter the circumstances"
22-Aug-19,SCMP,Schools no place to push political causes
23-Aug-19,SCMP,City must overcome bigger challenge than Sars if it is to recover
25-Aug-19,SCMP,No place for bullies in citys classrooms
26-Aug-19,SCMP,Violence should not be allowed to push city to breaking point
29-Aug-19,SCMP,"At tipping point, it is time for those who love the city to unite"
2-Sep-19,SCMP,Australia overstating Chinese influence at campuses
2-Sep-19,SCMP,Stronger will must be shown to end Hong Kongs escalating violence
4-Sep-19,SCMP,Extradition bill withdrawal is only first step on road to reconciliation in Hong Kong
5-Sep-19,SCMP,Independence key to panel probing police handling of protests
7-Sep-19,SCMP,‘Smart city sceptics must be won over
