Country,Continent,Happiness,GDP_pc,Life_exp,Pop(m)
Hong Kong,ASIAP,5.43,48829.217,84.3,7.496
Switzerland,EUR,7.487,86835.128,83.4,8.654
Singapore,ASIAP,6.343,61766.818,83.1,5.85
Australia,ASIAP,7.272,59655.413,82.8,25.499
UK,EUR,6.814,44177.497,81.2,9.89
Finland,EUR,7.632,52422.304,81.1,5.54
Slovenia,EUR,5.948,27535.862,80.8,2.078
Denmark,EUR,7.555,63829.704,80.6,5.792
Albania,AFR,4.586,5319.279,77.8,43.851
Estonia,EUR,5.739,23610.453,77.6,1.326
UAE,ME,6.774,39483.545,77.1,9.9
Argentina,AMER,6.388,14043.675,76.3,45.196
China,ASIAP,5.246,10087.827,76.1,1439.323
Morocco,AFR,5.254,3435.475,74.3,36.91
India,ASIAP,4.19,2134.752,68.3,1380.004
Gabon,AFR,4.758,9029.672,66,2.225
Namibia,AFR,4.441,5627.102,65.8,2.54
Ghana,AFR,4.657,1779.893,62.4,31.072
Togo,AFR,3.999,698.682,59.9,8.278
Lesotho,AFR,3.808,1499.096,53.7,2.142
Angola,AFR,3.795,4114.539,52.4,32.866
Sierra Leone,AFR,4.571,505.101,50.1,7.976
