Country,Happiness,GDP_log,Regime
Afghanistan,3.632,6.3990141478177645,Authoritarian
Albania,4.586,8.579093047,Flawed
Algeria,5.295,8.448748169832118,Authoritarian
Angola,3.795,8.322282077673831,Authoritarian
Argentina,6.388,9.549927395,Flawed
Armenia,4.321,8.299559433275626,Hybrid
Australia,7.272,10.996340169427333,Full
Austria,7.139,10.892361757963444,Full
Azerbaijan,5.201,8.428531581,Authoritarian
Bahrain,6.105,10.148270474672454,Authoritarian
Bangladesh,4.5,7.457905264375874,Hybrid
Belarus,5.483,8.748398082642314,Authoritarian
Belgium,6.927,10.805110577615071,Flawed
Benin,4.141,6.873539540023765,Hybrid
Bhutan,5.082,8.044897978497142,Hybrid
Bolivia,5.752,8.194725038277271,Hybrid
Bosnia and Herzegovina,5.129,8.666563779070497,Hybrid
Botswana,3.59,9.041105529369796,Flawed
Brazil,6.419,9.232495915267712,Flawed
Bulgaria,4.933,9.129846112368416,Flawed
Burkina Faso,4.424,6.620906192834248,Authoritarian
Burundi,2.905,5.828633804295605,Authoritarian
Cambodia,4.433,7.312430742069385,Authoritarian
Cameroon,4.975,7.358975473878068,Authoritarian
Canada,7.328,10.788624588401555,Full
Central African Republic,3.083,6.054354835656196,Authoritarian
Chad,4.301,6.823942055171656,Authoritarian
Chile,6.476,9.621609338,Flawed
China,5.246,9.219084728409683,Authoritarian
Colombia,6.26,8.792000792,Flawed
Costa Rica,7.072,9.408265146299808,Full
Croatia,5.321,9.601595460960691,Flawed
Cyprus,5.762,10.264037683230269,Flawed
Czech Republic,6.711,10.075318061899385,Flawed
Democratic Rep of the Congo,4.245,6.169154561515689,Authoritarian
Denmark,7.555,11.063973940921477,Full
Dominican Republic,5.302,8.965743586864086,Flawed
Ecuador,5.973,8.742445238290552,Hybrid
Egypt,4.419,7.824445930877619,Authoritarian
El Salvador,6.167,8.432991029,Hybrid
Estonia,5.739,10.069444816680756,Flawed
Ethiopia,4.35,6.8134281158585575,Authoritarian
Finland,7.632,10.86708742860132,Full
France,6.489,10.71294795577305,Flawed
Gabon,4.758,9.108271322384766,Authoritarian
Georgia,4.34,8.382558790701887,Hybrid
Germany,6.965,10.83647149423934,Full
Ghana,4.657,7.484308529,Flawed
Greece,5.358,9.959120158478571,Flawed
Guatemala,6.382,8.470255869673643,Hybrid
Guinea,3.964,6.704965673548319,Authoritarian
Haiti,3.582,6.741808126897533,Authoritarian
Honduras,5.504,7.955498744565514,Hybrid
Hong Kong,5.43,10.796084121702894,Hybrid
Hungary,5.62,9.724516257,Flawed
Iceland,7.495,11.346580496097747,Full
India,4.19,7.666105759665131,Flawed
Indonesia,5.093,8.306879484540127,Flawed
Iran,4.707,8.534229053568753,Authoritarian
Iraq,4.456,8.630784163751562,Authoritarian
Ireland,6.977,11.297764604529128,Full
Israel,7.19,10.64816706266244,Flawed
Italy,6,10.488877625682829,Flawed
Ivory Coast,4.671,7.538975990690406,Hybrid
Jamaica,5.89,8.581956999674759,Flawed
Japan,5.915,10.61764276105586,Full
Jordan,5.161,8.672058416,Authoritarian
Kazakhstan,5.79,9.180790029698851,Authoritarian
Kenya,4.41,7.516275510271162,Hybrid
Kuwait,6.083,10.304937309902623,Authoritarian
Kyrgyzstan,5.131,7.079785730199146,Authoritarian
Laos,4.623,7.903189483570005,Authoritarian
Latvia,5.933,9.824021799225743,Flawed
Lebanon,5.199,9.373747082279934,Authoritarian
Lesotho,3.808,7.312617538747082,Flawed
Liberia,3.495,6.582389338492078,Hybrid
Libya,5.566,8.809847432126562,Authoritarian
